data,produto,categoria,loja,cidade,preco,quantidade,desconto,cliente
2023-09-17,Macarrão,Alimentos,Loja B,Rio de Janeiro,20.57,6,0.16,Vitor Hugo da Mota
2023-09-29,Arroz,Alimentos,Loja C,Belo Horizonte,3.92,12,0.26,Vinicius Cunha
2023-06-07,Sabonete,Higiene,Loja A,Rio de Janeiro,44.27,3,0.03,Danilo Silva
2023-09-06,Feijão,Alimentos,Loja B,Rio de Janeiro,34.01,18,0.05,Ana Lívia Vieira
2023-09-28,Macarrão,Alimentos,Loja D,Rio de Janeiro,46.66,7,0.21,Vicente Ferreira
2023-07-24,Refrigerante,Bebidas,Loja D,Belo Horizonte,8.69,8,0.02,Sr. Luiz Miguel Lopes
2023-01-11,Macarrão,Alimentos,Loja B,Rio de Janeiro,3.34,2,0.07,Marcela Costela
2023-01-17,Refrigerante,Bebidas,Loja A,Rio de Janeiro,16.09,16,0.06,Vinicius Porto
2023-03-09,Macarrão,Alimentos,Loja D,Rio de Janeiro,39.88,14,0.06,Dr. Luiz Fernando Gonçalves
2023-02-19,Papel Higiênico,Higiene,Loja C,Belo Horizonte,22.32,2,0.2,Maria Eduarda Martins
2023-11-27,Feijão,Alimentos,Loja A,Belo Horizonte,37.23,4,0.07,Emanuella Dias
2023-04-08,Queijo,Laticínios,Loja D,Rio de Janeiro,22.83,9,0.14,Gabriel da Rocha
2023-02-08,Leite,Laticínios,Loja A,São Paulo,33.65,18,0.25,Dr. Theo da Cunha
2023-02-17,Sabonete,Higiene,Loja B,Belo Horizonte,25.83,7,0.26,Anthony Farias
2023-01-31,Detergente,Limpeza,Loja D,São Paulo,49.31,9,0.28,Joaquim Alves
2023-08-21,Café,Bebidas,Loja D,Belo Horizonte,10.28,10,0.07,Alexandre Moreira
2023-01-30,Macarrão,Alimentos,Loja A,Curitiba,5.69,19,0.14,Srta. Laís Souza
2023-09-29,Detergente,Limpeza,Loja A,São Paulo,43.01,3,0.18,Eduardo Gomes
2023-12-12,Sabonete,Higiene,Loja D,São Paulo,47.26,19,0.07,Milena Gonçalves
2023-11-01,Arroz,Alimentos,Loja A,Belo Horizonte,33.9,19,0.16,Ana Aragão
2023-05-14,Sabonete,Higiene,Loja C,Rio de Janeiro,15.48,5,0.2,Eduardo Pinto
2023-06-03,Leite,Laticínios,Loja C,São Paulo,3.44,20,0.3,Lívia Fernandes
2023-02-21,Feijão,Alimentos,Loja B,Curitiba,9.23,12,0.26,Maria Vitória Vieira
2023-05-06,Refrigerante,Bebidas,Loja C,Rio de Janeiro,23.59,18,0.21,Davi Lucca Campos
2023-11-10,Queijo,Laticínios,Loja A,Curitiba,46.79,4,0.28,Francisco Moura
2023-03-10,Café,Bebidas,Loja A,São Paulo,37.89,5,0.08,Marcelo da Conceição
2023-11-06,Sabonete,Higiene,Loja C,Rio de Janeiro,35.31,9,0.15,Murilo das Neves
2023-05-09,Arroz,Alimentos,Loja A,Belo Horizonte,41.98,2,0.0,Breno da Costa
2023-03-08,Café,Bebidas,Loja B,Belo Horizonte,28.93,14,0.17,Natália Farias
2023-02-27,Feijão,Alimentos,Loja B,São Paulo,42.23,19,0.17,Sarah Pires
2023-08-09,Detergente,Limpeza,Loja A,Curitiba,20.14,2,0.27,Marcos Vinicius da Rocha
2023-04-18,Sabonete,Higiene,Loja A,Curitiba,39.67,14,0.29,Diogo Dias
2023-03-21,Sabonete,Higiene,Loja B,Rio de Janeiro,44.43,1,0.05,Alana Santos
2023-06-20,Papel Higiênico,Higiene,Loja B,Curitiba,10.48,4,0.11,Sr. Caio Pereira
2023-01-20,Leite,Laticínios,Loja B,Rio de Janeiro,41.38,15,0.1,Cecília da Mata
2023-04-27,Sabonete,Higiene,Loja A,Rio de Janeiro,21.73,9,0.26,Henrique Nascimento
2023-05-23,Refrigerante,Bebidas,Loja D,Curitiba,47.14,4,0.26,João Vitor da Conceição
2023-05-14,Detergente,Limpeza,Loja C,São Paulo,8.09,14,0.1,Vicente da Rocha
2023-06-10,Papel Higiênico,Higiene,Loja A,Belo Horizonte,45.28,7,0.08,Sophia da Rocha
2023-12-29,Papel Higiênico,Higiene,Loja A,Rio de Janeiro,20.12,3,0.28,João Felipe Peixoto
2023-06-19,Macarrão,Alimentos,Loja C,São Paulo,36.83,10,0.15,Ryan Mendes
2023-12-08,Papel Higiênico,Higiene,Loja C,Belo Horizonte,35.77,18,0.04,Vitória da Costa
2023-08-04,Papel Higiênico,Higiene,Loja B,Curitiba,22.09,1,0.09,Marcos Vinicius Alves
2023-04-18,Papel Higiênico,Higiene,Loja C,Belo Horizonte,23.76,7,0.15,Juliana Vieira
2023-03-28,Feijão,Alimentos,Loja C,Curitiba,7.39,8,0.2,Vitor Ramos
2023-04-26,Sabonete,Higiene,Loja B,São Paulo,5.17,16,0.18,Anthony Silva
2023-02-07,Leite,Laticínios,Loja D,Rio de Janeiro,36.76,13,0.15,Kevin Pinto
2023-05-05,Detergente,Limpeza,Loja A,São Paulo,39.59,8,0.05,Laís da Costa
2023-12-23,Queijo,Laticínios,Loja D,São Paulo,29.2,4,0.14,Lorenzo Rezende
2023-08-26,Queijo,Laticínios,Loja C,Belo Horizonte,31.79,17,0.13,Sr. Pedro Henrique Vieira
2023-10-08,Leite,Laticínios,Loja B,Belo Horizonte,24.15,8,0.25,João Pedro Fogaça
2023-05-22,Queijo,Laticínios,Loja D,Rio de Janeiro,15.91,3,0.21,Dr. Davi Lucca Cavalcanti
2023-05-01,Café,Bebidas,Loja C,Curitiba,44.97,3,0.04,Henrique Novaes
2023-04-29,Papel Higiênico,Higiene,Loja B,Rio de Janeiro,6.02,14,0.1,Laura Duarte
2023-08-27,Papel Higiênico,Higiene,Loja A,Rio de Janeiro,42.15,13,0.27,Luiz Felipe da Paz
2023-10-27,Arroz,Alimentos,Loja D,Belo Horizonte,3.28,12,0.09,Sra. Ana Costela
2023-07-19,Papel Higiênico,Higiene,Loja B,Belo Horizonte,13.31,14,0.15,Sabrina Almeida
2023-07-19,Refrigerante,Bebidas,Loja D,Rio de Janeiro,42.5,5,0.29,Pedro Almeida
2023-10-01,Arroz,Alimentos,Loja D,São Paulo,6.95,14,0.04,Gustavo Pinto
2023-08-25,Detergente,Limpeza,Loja A,Curitiba,20.82,7,0.14,Sr. João Vitor Souza
2023-06-22,Papel Higiênico,Higiene,Loja C,Belo Horizonte,14.86,3,0.14,Miguel Santos
2023-10-04,Arroz,Alimentos,Loja C,Rio de Janeiro,33.56,2,0.23,Levi Silva
2023-05-07,Sabonete,Higiene,Loja A,Rio de Janeiro,14.21,16,0.2,Srta. Sophie da Paz
2023-10-16,Sabonete,Higiene,Loja D,Curitiba,39.04,6,0.18,Murilo Rezende
2023-02-28,Detergente,Limpeza,Loja C,São Paulo,30.2,10,0.17,Sr. Gustavo Porto
2023-07-12,Papel Higiênico,Higiene,Loja B,São Paulo,30.83,8,0.03,João Pedro Cardoso
2023-06-04,Macarrão,Alimentos,Loja A,São Paulo,19.32,14,0.2,Lavínia da Mata
2023-02-05,Queijo,Laticínios,Loja C,São Paulo,42.93,16,0.03,Mirella Moraes
2023-07-05,Leite,Laticínios,Loja B,Belo Horizonte,11.28,17,0.29,Helena Caldeira
2023-05-19,Macarrão,Alimentos,Loja D,Belo Horizonte,23.47,19,0.08,Gustavo Henrique Pereira
2023-05-06,Feijão,Alimentos,Loja C,Belo Horizonte,14.46,15,0.17,Mirella Nogueira
2023-12-09,Papel Higiênico,Higiene,Loja C,São Paulo,26.23,11,0.05,Carlos Eduardo Porto
2023-04-19,Refrigerante,Bebidas,Loja C,Curitiba,16.14,20,0.21,Sr. Luiz Miguel Mendes
2023-05-22,Queijo,Laticínios,Loja A,Rio de Janeiro,7.02,14,0.15,Larissa Castro
2023-05-04,Leite,Laticínios,Loja D,Belo Horizonte,40.27,3,0.09,Alícia Correia
2023-07-27,Sabonete,Higiene,Loja C,Curitiba,25.24,17,0.1,Luiz Henrique Carvalho
2023-10-09,Refrigerante,Bebidas,Loja C,Belo Horizonte,15.73,9,0.07,Carolina Azevedo
2023-04-09,Refrigerante,Bebidas,Loja A,Rio de Janeiro,12.0,16,0.08,Felipe Nogueira
2023-10-29,Queijo,Laticínios,Loja C,São Paulo,42.13,10,0.07,Marcela Pires
2023-04-02,Café,Bebidas,Loja A,Rio de Janeiro,15.89,2,0.17,Vitor Nascimento
2023-12-24,Detergente,Limpeza,Loja D,São Paulo,44.02,19,0.09,Sabrina Ramos
2023-09-03,Leite,Laticínios,Loja C,Rio de Janeiro,48.38,9,0.28,Dr. Otávio Silva
2023-09-02,Feijão,Alimentos,Loja A,Belo Horizonte,26.11,19,0.19,Luiz Gustavo Melo
2023-01-28,Detergente,Limpeza,Loja B,Curitiba,7.0,8,0.04,Enrico Peixoto
2023-08-02,Macarrão,Alimentos,Loja B,Belo Horizonte,24.17,15,0.09,Alana Novaes
2023-10-29,Papel Higiênico,Higiene,Loja C,São Paulo,31.65,4,0.28,Matheus Fernandes
2023-04-17,Sabonete,Higiene,Loja C,São Paulo,10.38,6,0.17,João Felipe Monteiro
2023-03-22,Arroz,Alimentos,Loja D,Belo Horizonte,35.4,16,0.09,Camila Azevedo
2023-04-29,Café,Bebidas,Loja C,Belo Horizonte,6.35,8,0.28,Benício Mendes
2023-11-17,Macarrão,Alimentos,Loja B,Belo Horizonte,8.39,8,0.19,Luiz Henrique Cardoso
2023-05-17,Detergente,Limpeza,Loja A,São Paulo,10.8,10,0.18,Alana Pinto
2023-10-19,Café,Bebidas,Loja D,São Paulo,25.03,10,0.21,Isaac Pereira
2023-05-20,Queijo,Laticínios,Loja D,Belo Horizonte,6.78,2,0.27,Ana Lívia Barros
2023-06-15,Macarrão,Alimentos,Loja C,São Paulo,7.29,19,0.18,Eduardo Barbosa
2023-01-11,Café,Bebidas,Loja A,Rio de Janeiro,25.11,15,0.27,Giovanna Cavalcanti
2023-04-03,Macarrão,Alimentos,Loja D,Belo Horizonte,48.55,16,0.1,Bianca Cunha
2023-06-20,Refrigerante,Bebidas,Loja A,Rio de Janeiro,18.5,16,0.09,Sr. Augusto Pires
2023-07-25,Queijo,Laticínios,Loja A,Belo Horizonte,7.14,9,0.1,Marcela Costela
2023-07-26,Queijo,Laticínios,Loja A,Belo Horizonte,22.42,7,0.16,Agatha Martins
2023-11-15,Leite,Laticínios,Loja D,São Paulo,12.57,18,0.04,Brenda Azevedo
2023-05-28,Leite,Laticínios,Loja D,São Paulo,4.36,20,0.24,Julia Barros
2023-12-30,Detergente,Limpeza,Loja C,São Paulo,28.96,3,0.07,Helena da Luz
2023-02-28,Leite,Laticínios,Loja A,Rio de Janeiro,26.42,10,0.15,Isaac Monteiro
2023-05-20,Papel Higiênico,Higiene,Loja D,Belo Horizonte,14.46,18,0.04,Sabrina da Paz
2023-04-08,Macarrão,Alimentos,Loja B,São Paulo,15.98,14,0.1,Sra. Bianca Silveira
2023-09-17,Café,Bebidas,Loja A,Curitiba,37.12,19,0.17,Rebeca Duarte
2023-12-04,Leite,Laticínios,Loja B,Belo Horizonte,28.31,12,0.1,Samuel Mendes
2023-10-06,Papel Higiênico,Higiene,Loja D,Curitiba,43.87,8,0.17,Dr. Pedro Miguel Campos
2023-04-30,Papel Higiênico,Higiene,Loja A,Curitiba,38.0,13,0.12,Pietra Gomes
2023-12-06,Detergente,Limpeza,Loja D,São Paulo,8.93,19,0.1,Manuela da Luz
2023-02-21,Leite,Laticínios,Loja A,Belo Horizonte,3.72,5,0.12,Rebeca Viana
2023-12-02,Detergente,Limpeza,Loja A,Belo Horizonte,39.73,9,0.1,Davi Lucca Castro
2023-12-21,Papel Higiênico,Higiene,Loja A,Curitiba,43.06,18,0.11,Luiz Otávio Fernandes
2023-06-12,Leite,Laticínios,Loja A,São Paulo,14.03,10,0.3,Otávio Farias
2023-02-16,Papel Higiênico,Higiene,Loja A,São Paulo,23.85,10,0.27,João Vitor Porto
2023-01-24,Refrigerante,Bebidas,Loja A,Curitiba,19.85,14,0.04,Gabriel Dias
2023-09-29,Papel Higiênico,Higiene,Loja B,Rio de Janeiro,11.23,20,0.26,Cecília Costela
2023-11-14,Sabonete,Higiene,Loja D,Rio de Janeiro,13.91,9,0.14,Kevin Fogaça
2023-12-08,Arroz,Alimentos,Loja D,Curitiba,34.85,6,0.02,Olivia da Costa
2023-06-26,Macarrão,Alimentos,Loja C,Belo Horizonte,35.44,15,0.25,Mariana Costela
2023-04-12,Papel Higiênico,Higiene,Loja D,São Paulo,14.15,19,0.11,Pietra Viana
2023-06-01,Café,Bebidas,Loja A,Belo Horizonte,15.9,19,0.26,Mirella Freitas
2023-01-26,Macarrão,Alimentos,Loja D,Curitiba,39.46,8,0.18,Paulo Cardoso
2023-06-30,Sabonete,Higiene,Loja B,Curitiba,34.85,5,0.19,João Pedro Peixoto
2023-11-18,Arroz,Alimentos,Loja C,Belo Horizonte,4.57,12,0.22,Luiz Miguel Caldeira
2023-02-16,Café,Bebidas,Loja C,Belo Horizonte,11.26,5,0.24,Anthony Campos
2023-07-07,Queijo,Laticínios,Loja C,Rio de Janeiro,15.08,16,0.29,Amanda Caldeira
2023-06-01,Refrigerante,Bebidas,Loja A,Belo Horizonte,48.26,5,0.23,Amanda Peixoto
2023-04-26,Papel Higiênico,Higiene,Loja C,São Paulo,40.16,1,0.08,Francisco Ferreira
2023-03-05,Leite,Laticínios,Loja C,Curitiba,30.47,12,0.03,Francisco Duarte
2023-04-30,Leite,Laticínios,Loja A,Curitiba,46.02,8,0.19,Lucca Pereira
2023-11-22,Leite,Laticínios,Loja C,Belo Horizonte,8.48,2,0.28,Melissa Melo
2023-06-05,Leite,Laticínios,Loja A,São Paulo,14.04,18,0.04,Olivia Cunha
2023-08-21,Refrigerante,Bebidas,Loja D,Rio de Janeiro,44.61,4,0.25,Raquel Araújo
2023-11-12,Papel Higiênico,Higiene,Loja C,São Paulo,35.44,7,0.13,Miguel Oliveira
2023-05-01,Refrigerante,Bebidas,Loja A,Curitiba,28.59,12,0.02,Dra. Maria Alice Moura
2023-05-22,Sabonete,Higiene,Loja A,Belo Horizonte,7.31,7,0.19,Noah Gomes
2023-11-02,Arroz,Alimentos,Loja A,Curitiba,14.45,5,0.24,Sophie Almeida
2023-04-16,Feijão,Alimentos,Loja B,Rio de Janeiro,41.21,8,0.1,Sabrina Dias
2023-03-17,Macarrão,Alimentos,Loja A,Curitiba,43.35,5,0.3,Milena Campos
2023-10-04,Café,Bebidas,Loja B,São Paulo,34.07,1,0.04,Luiz Gustavo Novaes
2023-07-03,Sabonete,Higiene,Loja C,São Paulo,11.19,2,0.04,Davi Lucca Rezende
2023-08-04,Queijo,Laticínios,Loja A,São Paulo,25.38,12,0.15,Maria Clara Castro
2023-02-25,Leite,Laticínios,Loja B,São Paulo,37.18,17,0.09,Laís Lima
2023-11-26,Arroz,Alimentos,Loja A,Belo Horizonte,42.82,14,0.21,Bruna Pereira
2023-09-09,Leite,Laticínios,Loja A,São Paulo,18.14,5,0.02,Emilly Pires
2023-05-21,Macarrão,Alimentos,Loja C,Belo Horizonte,49.75,17,0.09,Davi Luiz Ramos
2023-09-16,Macarrão,Alimentos,Loja D,São Paulo,40.28,4,0.26,Sr. Yago Jesus
2023-11-30,Queijo,Laticínios,Loja B,Belo Horizonte,24.22,8,0.12,Dra. Eduarda Azevedo
2023-08-21,Papel Higiênico,Higiene,Loja D,São Paulo,17.69,11,0.2,Raquel da Cruz
2023-07-11,Detergente,Limpeza,Loja D,São Paulo,7.29,3,0.03,Esther Nascimento
2023-02-19,Refrigerante,Bebidas,Loja B,São Paulo,30.56,18,0.17,Lucas Caldeira
2023-12-10,Feijão,Alimentos,Loja D,Curitiba,44.06,14,0.26,Sra. Mariana Nascimento
2023-01-27,Café,Bebidas,Loja C,Curitiba,7.87,17,0.06,Diego Viana
2023-12-03,Leite,Laticínios,Loja B,São Paulo,19.46,18,0.11,Samuel Freitas
2023-05-23,Macarrão,Alimentos,Loja B,Belo Horizonte,42.72,20,0.18,Sra. Rebeca Ribeiro
2023-11-26,Queijo,Laticínios,Loja A,Curitiba,4.36,9,0.21,Raquel Gomes
2023-06-08,Refrigerante,Bebidas,Loja C,São Paulo,11.53,5,0.17,Caroline Costa
2023-07-25,Feijão,Alimentos,Loja B,São Paulo,7.31,17,0.06,Camila Teixeira
2023-08-03,Leite,Laticínios,Loja C,Rio de Janeiro,20.39,11,0.23,Luiz Gustavo Castro
2023-10-18,Macarrão,Alimentos,Loja A,São Paulo,10.31,20,0.01,Caroline da Cunha
2023-02-11,Café,Bebidas,Loja D,Belo Horizonte,25.83,15,0.12,Lavínia Lopes
2023-04-21,Queijo,Laticínios,Loja A,Curitiba,23.21,10,0.2,João Vitor Pinto
2023-10-31,Leite,Laticínios,Loja C,São Paulo,13.36,20,0.02,Pedro Miguel Ferreira
2023-04-15,Café,Bebidas,Loja B,Rio de Janeiro,38.92,10,0.1,Maria Julia Costa
2023-01-04,Leite,Laticínios,Loja D,Rio de Janeiro,9.07,18,0.21,Eduardo Fernandes
2023-09-14,Queijo,Laticínios,Loja C,São Paulo,21.66,2,0.13,Dra. Maysa Costa
2023-08-24,Feijão,Alimentos,Loja C,Belo Horizonte,29.95,14,0.09,Lucas Gabriel Costela
2023-07-27,Arroz,Alimentos,Loja C,Rio de Janeiro,40.66,20,0.14,Pedro Miguel Pires
2023-12-20,Refrigerante,Bebidas,Loja A,Belo Horizonte,42.69,8,0.13,Sr. Fernando Castro
2023-07-25,Queijo,Laticínios,Loja A,Belo Horizonte,43.91,11,0.07,Thales Barros
2023-03-28,Feijão,Alimentos,Loja A,Rio de Janeiro,45.58,12,0.11,Nina Viana
2023-11-27,Detergente,Limpeza,Loja B,São Paulo,9.88,7,0.05,Srta. Laura Novaes
2023-03-20,Feijão,Alimentos,Loja B,Belo Horizonte,24.81,19,0.23,Bárbara Vieira
2023-08-18,Macarrão,Alimentos,Loja C,Curitiba,10.09,3,0.14,Luiz Fernando Costela
2023-11-20,Café,Bebidas,Loja C,São Paulo,19.54,3,0.09,Carolina Santos
2023-08-20,Arroz,Alimentos,Loja A,Curitiba,42.09,3,0.19,João Pereira
2023-02-16,Macarrão,Alimentos,Loja D,Belo Horizonte,30.28,2,0.13,Luana Alves
2023-10-20,Sabonete,Higiene,Loja C,Belo Horizonte,26.56,2,0.14,Dra. Eloah da Mota
2023-06-25,Feijão,Alimentos,Loja B,São Paulo,14.64,15,0.3,João Moraes
2023-09-26,Queijo,Laticínios,Loja B,Curitiba,20.52,10,0.12,Ana Beatriz Porto
2023-06-23,Macarrão,Alimentos,Loja A,Curitiba,6.1,4,0.17,Gabriela Porto
2023-07-17,Café,Bebidas,Loja C,Rio de Janeiro,18.67,19,0.2,Levi Fernandes
2023-06-29,Café,Bebidas,Loja D,Rio de Janeiro,30.97,3,0.09,Juan Costela
2023-07-12,Refrigerante,Bebidas,Loja B,São Paulo,33.36,14,0.15,Dr. Pedro Lucas Nascimento
2023-01-10,Refrigerante,Bebidas,Loja C,Rio de Janeiro,47.7,11,0.28,Thomas da Paz
2023-09-06,Sabonete,Higiene,Loja B,Rio de Janeiro,10.28,10,0.25,Miguel Nunes
2023-02-21,Queijo,Laticínios,Loja A,Curitiba,44.19,20,0.04,Felipe Caldeira
2023-07-12,Detergente,Limpeza,Loja B,Rio de Janeiro,42.07,20,0.24,Isabelly Oliveira
2023-03-26,Leite,Laticínios,Loja A,Belo Horizonte,20.12,8,0.29,Luiz Otávio Viana
2023-11-09,Café,Bebidas,Loja D,Rio de Janeiro,28.1,10,0.29,Vitor Barros
2023-08-29,Sabonete,Higiene,Loja C,Belo Horizonte,24.7,10,0.23,Isaac Almeida
2023-09-15,Queijo,Laticínios,Loja D,Rio de Janeiro,41.39,20,0.04,Paulo Freitas
2023-05-09,Arroz,Alimentos,Loja D,Curitiba,29.06,4,0.21,Clarice Caldeira
2023-09-22,Feijão,Alimentos,Loja C,São Paulo,38.87,9,0.13,Isadora da Mata
2023-09-20,Detergente,Limpeza,Loja D,São Paulo,47.48,8,0.25,Nicole Rezende
2023-06-28,Arroz,Alimentos,Loja D,São Paulo,21.63,12,0.07,Agatha Pereira
2023-02-11,Refrigerante,Bebidas,Loja B,São Paulo,17.98,4,0.25,Ryan Azevedo
2023-11-29,Refrigerante,Bebidas,Loja B,Rio de Janeiro,4.8,16,0.21,Mariana Silva
2023-03-13,Leite,Laticínios,Loja D,São Paulo,45.58,1,0.08,Isabelly da Rosa
2023-03-18,Queijo,Laticínios,Loja D,São Paulo,39.48,8,0.09,Luiz Otávio Santos
2023-01-25,Sabonete,Higiene,Loja D,Belo Horizonte,5.95,16,0.18,Marcela Nunes
2023-01-09,Queijo,Laticínios,Loja B,Rio de Janeiro,16.69,1,0.18,Dr. Enzo Araújo
2023-05-04,Macarrão,Alimentos,Loja D,Rio de Janeiro,34.23,3,0.16,Raquel Nascimento
2023-07-04,Feijão,Alimentos,Loja A,Belo Horizonte,44.05,2,0.19,João Miguel Martins
2023-07-11,Café,Bebidas,Loja A,Curitiba,40.06,12,0.07,Bruna Lima
2023-12-03,Feijão,Alimentos,Loja C,Rio de Janeiro,5.08,18,0.1,Laís Silva
2023-11-26,Detergente,Limpeza,Loja D,Belo Horizonte,32.69,5,0.02,Clara Pereira
2023-08-23,Arroz,Alimentos,Loja C,Rio de Janeiro,5.06,7,0.27,Dr. Benjamin Carvalho
2023-06-11,Café,Bebidas,Loja D,Belo Horizonte,14.91,7,0.09,Maysa Ribeiro
2023-01-25,Refrigerante,Bebidas,Loja C,São Paulo,40.57,14,0.27,Ryan Silva
2023-08-14,Papel Higiênico,Higiene,Loja C,Rio de Janeiro,26.32,16,0.11,Srta. Ana Carolina Cavalcanti
2023-09-23,Café,Bebidas,Loja A,Belo Horizonte,6.71,20,0.3,Daniel Duarte
2023-04-03,Queijo,Laticínios,Loja C,Curitiba,7.82,11,0.2,Maria Eduarda Carvalho
2023-06-06,Leite,Laticínios,Loja D,Rio de Janeiro,35.42,12,0.13,Laís Rezende
2023-06-30,Macarrão,Alimentos,Loja D,Curitiba,33.06,2,0.02,Enrico Peixoto
2023-11-23,Papel Higiênico,Higiene,Loja C,Rio de Janeiro,47.78,5,0.25,Erick da Mota
2023-12-14,Leite,Laticínios,Loja A,Rio de Janeiro,6.16,12,0.11,Alexia Souza
2023-10-18,Arroz,Alimentos,Loja B,Belo Horizonte,47.59,12,0.13,Maria Sophia Nascimento
2023-02-09,Macarrão,Alimentos,Loja B,Curitiba,21.71,9,0.07,Cauê Souza
2023-02-28,Arroz,Alimentos,Loja B,Belo Horizonte,27.33,18,0.04,Sra. Maria Vitória Correia
2023-05-14,Leite,Laticínios,Loja B,Curitiba,35.62,16,0.06,Srta. Raquel Cavalcanti
2023-03-11,Feijão,Alimentos,Loja D,Rio de Janeiro,45.24,15,0.3,Emanuel Barros
2023-12-16,Refrigerante,Bebidas,Loja C,São Paulo,28.85,10,0.27,Srta. Marcela Melo
2023-03-22,Detergente,Limpeza,Loja C,Rio de Janeiro,8.7,7,0.24,Letícia Costela
2023-05-02,Leite,Laticínios,Loja A,Curitiba,29.04,12,0.14,Ana Clara Nascimento
2023-10-10,Detergente,Limpeza,Loja A,São Paulo,17.54,16,0.16,Maria Sophia Lopes
2023-07-29,Macarrão,Alimentos,Loja A,Rio de Janeiro,48.7,3,0.13,Renan da Rocha
2023-12-15,Queijo,Laticínios,Loja C,Rio de Janeiro,44.26,18,0.19,Caio Moura
2023-04-04,Detergente,Limpeza,Loja D,São Paulo,42.08,17,0.05,Beatriz Melo
2023-03-26,Detergente,Limpeza,Loja C,Rio de Janeiro,19.26,17,0.27,Heitor Silveira
2023-02-10,Café,Bebidas,Loja B,Curitiba,8.88,10,0.18,Kevin Dias
2023-02-17,Queijo,Laticínios,Loja B,Rio de Janeiro,11.05,20,0.22,Francisco Pires
2023-11-06,Refrigerante,Bebidas,Loja A,São Paulo,6.82,19,0.08,Valentina Nascimento
2023-04-18,Macarrão,Alimentos,Loja D,São Paulo,26.41,18,0.09,Thiago Azevedo
2023-06-04,Leite,Laticínios,Loja B,Belo Horizonte,16.98,3,0.21,Raul Farias
2023-03-22,Leite,Laticínios,Loja D,Belo Horizonte,24.83,11,0.18,Pietra Silva
2023-06-10,Refrigerante,Bebidas,Loja C,Belo Horizonte,9.15,12,0.15,Bernardo da Costa
2023-02-24,Refrigerante,Bebidas,Loja B,Belo Horizonte,8.76,15,0.07,Sr. Pedro Miguel Lima
2023-02-19,Arroz,Alimentos,Loja C,Belo Horizonte,43.62,14,0.07,Ana Clara da Mota
2023-03-23,Refrigerante,Bebidas,Loja C,Rio de Janeiro,38.87,16,0.3,Marcos Vinicius Fogaça
2023-08-28,Leite,Laticínios,Loja C,Belo Horizonte,4.09,13,0.15,Elisa da Rosa
2023-05-04,Sabonete,Higiene,Loja C,São Paulo,5.38,16,0.18,Ana Lívia da Cunha
2023-12-01,Leite,Laticínios,Loja C,São Paulo,42.82,14,0.04,Maysa Barros
2023-05-16,Refrigerante,Bebidas,Loja D,Curitiba,5.13,2,0.17,Letícia Caldeira
2023-04-10,Refrigerante,Bebidas,Loja C,São Paulo,21.16,15,0.23,Sophie Silveira
2023-05-24,Macarrão,Alimentos,Loja A,Rio de Janeiro,48.83,13,0.11,Bárbara da Rosa
2023-06-23,Queijo,Laticínios,Loja C,Rio de Janeiro,12.36,17,0.12,Maysa Rezende
2023-01-21,Arroz,Alimentos,Loja A,Rio de Janeiro,36.54,16,0.16,Eduardo Lopes
2023-03-18,Macarrão,Alimentos,Loja B,Curitiba,46.77,11,0.05,Ana Luiza Cavalcanti
2023-11-12,Café,Bebidas,Loja C,Belo Horizonte,36.31,10,0.14,Nicolas da Cunha
2023-01-09,Refrigerante,Bebidas,Loja C,São Paulo,49.06,19,0.09,Thiago Rezende
